circuitId,circuitRef,name,location,country,n_corners,corner_score,elev_change,change_score,max_alt,alt_score,length,length_score,lat,lng,max_vel,max_vel_score,temperature,temp_score,score,url
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,16,0.168688871,2.6,1.150194224,10.1,1.036790264,5.278,1.722096615,-37.8497,144.968,341,2.287557784,22.93,1.54,1.22037346,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,bahrain,Bahrain International Circuit,Sakhir,Bahrain,15,1.348812247,16.9,1.40211388,0.9,1.003279068,5.412,1.846618322,26.0325,50.5106,329.6,1.689929028,23.04,1.56,9.232239083,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
3,catalunya,Circuit de Barcelona-Catalunya,MontmelÃ_,Spain,16,1.507899327,29.6,1.76420938,192.3,1.654877195,4.657,1.266318785,41.57,2.26111,322,1.34896065,24.57300987,1.84,13.85250124,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
4,istanbul,Istanbul Park,Istanbul,Turkey,14,1.226247042,25,1.620925717,57,1.206264836,5.338,1.777315365,40.9517,29.405,329.5,1.684727703,14.46058058,1.01,7.223710375,http://en.wikipedia.org/wiki/Istanbul_Park
5,monaco,Circuit de Monaco,Monte-Carlo,Monaco,19,2.118754531,42,2.163884005,89.5,1.320825113,3.337,1.006603219,43.7347,7.42056,290,1.001337134,23.49934559,1.64,10.00760549,http://en.wikipedia.org/wiki/Circuit_de_Monaco
6,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,14,1.226247042,5.2,1.183516741,17.8,1.064808082,4.361,1.141928969,45.5,-73.5228,315.5,1.163744835,22.29626219,1.44,2.958303307,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
7,silverstone,Silverstone Circuit,Silverstone,UK,18,1.909045345,11.3,1.282807452,207.5,1.699719445,5.891,2.27735428,52.0786,-1.01694,329.5,1.684727703,22.79247259,1.52,24.24353702,http://en.wikipedia.org/wiki/Silverstone_Circuit
8,hockenheimring,Hockenheimring,Hockenheim,Germany,17,1.698907546,4.3,1.171408839,152.5,1.531555683,4.574,1.225556887,49.3278,8.56583,313,1.117039414,23.95266222,1.72,7.189919643,http://en.wikipedia.org/wiki/Hockenheimring
9,hungaroring,Hungaroring,Budapest,Hungary,14,1.226247042,34.7,1.930818356,238.9,1.78822044,4.381,1.148581856,47.5789,19.2486,315,1.153424242,25.79263132,2.08,11.65652526,http://en.wikipedia.org/wiki/Hungaroring
10,spa,Circuit de Spa-Francorchamps,Spa,Belgium,19,2.118754531,102.2,2.717727146,467.8,2.266227636,7.004,2.696763438,50.4372,5.97139,319.6,1.268974867,17.66148002,1.05,47.06494296,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
11,monza,Autodromo Nazionale di Monza,Monza,Italy,11,1.042667798,12.8,1.312066758,153.2,1.533795436,5.793,2.196896499,45.6156,9.28111,350,2.584643206,26.22136039,2.16,25.70505285,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
12,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,23,2.637951094,5.3,1.184900521,23,1.083702589,4.94,1.442520689,1.2914,103.864,323,1.386449246,28.97686051,2.54,17.21127677,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
13,shanghai,Shanghai International Circuit,Shanghai,China,16,1.507899327,7.4,1.215785604,21.1,1.076801832,5.451,1.883451285,31.3389,121.22,348,2.537982431,19.38817492,1.13,10.70345925,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
14,interlagos,AutÃ_dromo JosÃ© Carlos Pace,SÃ£o Paulo,Brazil,15,1.348812247,43,2.193867917,781.9,2.565325637,4.309,1.125703434,-23.7036,-46.6997,331,1.764036228,22.39319695,1.46,21.93478032,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
15,suzuka,Suzuka Circuit,Suzuka,Japan,18,1.909045345,40.4,2.114645272,94.4,1.337801217,5.807,2.208758593,34.8431,136.541,328,1.608518337,23.47260608,1.63,31.36723333,http://en.wikipedia.org/wiki/Suzuka_Circuit
16,rodriguez,AutÃ_dromo Hermanos RodrÃ_guez,Mexico City,Mexico,17,1.698907546,2.8,1.152580409,2229,2.717474129,4.304,1.124222718,19.4042,-99.0907,349,2.562616129,21.66310935,1.35,20.72957775,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
17,ricard,Circuit Paul Ricard,Le Castellet,France,15,1.348812247,33,1.874936891,441,2.224341452,5.842,2.237895697,43.2506,5.79167,339.9,2.236397838,26.72988426,2.25,63.24090781,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
18,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,14,1.226247042,7.92,1.223983526,3,1.010930028,4.259,1.111500257,52.3888,4.54092,330.7,1.747973653,20.34211925,1.21,3.559891723,http://en.wikipedia.org/wiki/Circuit_Zandvoort
19,las_vegas,Las Vegas Street Circuit,Nevada,USA,17,1.698907546,25,1.620925717,620,2.448649073,6.201,2.48416209,36.1162,-115.174,350.5,2.594721427,18.05,1.07,46.38422616,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada"
20,americas,Circuit of the Americas,Austin,USA,20,2.307052478,30.9,1.806250152,157.4,1.547182474,5.513,1.942103946,30.1328,-97.6411,325.3,1.481766276,26.16060414,2.15,39.82386217,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
21,red_bull_ring,Red Bull Ring,Spielburg,Austria,10,1.021336881,65,2.624589819,700,2.514185311,4.318,1.128403299,47.2197,14.7647,327.4,1.579100543,24.39,1.81,21.69475629,http://en.wikipedia.org/wiki/Red_Bull_Ring
22,sochi,Sochi Autodrom,Sochi,Russia,18,1.909045345,1.9,1.142066895,23.3,1.084791839,5.848,2.242813206,43.4057,39.9578,326,1.513180846,23.68815525,1.67,13.43607561,http://en.wikipedia.org/wiki/Sochi_Autodrom
23,BAK,Baku City Circuit,Baku,Azerbaijan,20,2.307052478,26.8,1.675754916,2.1,1.007651097,6.003,2.361036085,40.3725,49.8533,337,2.09003283,22.17838567,1.42,27.35834969,http://en.wikipedia.org/wiki/Baku_City_Circuit
24,algarve,Algarve International Circuit,Portimao,Portugal,16,1.507899327,25,1.620925717,900,2.617806791,4.68,1.278475831,37.232,-8.632,331.1,1.769409378,19.94900303,1.17,16.99913337,https://en.wikipedia.org/wiki/Algarve_International_Circuit
25,mugello,Autodromo Internazionale del Mugello,Florence,Italy,15,1.348812247,41,2.13327846,292,1.92492087,5.245,1.692239223,43.9975,11.371944,322.1,1.352599473,30.16988636,2.63,33.30256256,https://en.wikipedia.org/wiki/Mugello_Circuit
26,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,27,2.715512604,25,1.620925717,12,1.043707206,6.174,2.469319218,21.631944,39.104444,330,1.710866996,26.77611627,2.25,43.74732354,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit
27,miami,Miami International Autodrome,Miami Gardens,USA,19,2.118754531,25,1.620925717,1.8,1.0065581,5.412,1.846618322,25.958056,-80.238889,320,1.281331159,28.86735165,2.53,20.69661026,https://en.wikipedia.org/wiki/Miami_International_Autodrome
28,lusail,Lusail International Circuit,Lusail,Qatar,16,1.507899327,6.7,1.205098499,13,1.047346899,5.419,1.853219235,25.49,51.454167,342.6,2.356705998,28.93901233,2.54,21.088703,
29,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,21,2.458484916,10.7,1.271652419,20,1.072805021,5.281,1.724830591,24.4672,54.6031,339,2.192587597,26.74511031,2.25,28.5248847,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
30,nurburgring,NÃ_rburgring,NÃ_rburg,Germany,15,1.348812247,60,2.567312149,539,2.362394968,5.148,1.607175542,50.3356,6.9475,340,2.241161411,9.5,1.00,29.46748221,http://en.wikipedia.org/wiki/N%C3%BCrburgring
31,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,19,2.118754531,34,1.907806876,47,1.17044159,4.909,1.420410084,44.3439,11.7167,297.9,1.008421889,13.85029503,1.00,6.802498366,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
,,,,,16.75,,25.91677419,,274.4677419,,5.196419355,,,,328.8129032,,23.54820906,,,
,,,,,11.04464286,,465.9058606,,0.003643415,,0.562237018,,,,166.856773,,13.2045641,,,
,,,,,3.32334814,,21.58485257,,,,0.749824658,,,,12.91730517,,3.633808484,,,